CrossingId,distance_base,distance_closure,duration_base,duration_closure,eu_distance,circuity_base,circuity_closure,distance_change,duration_change,circuity_change,circuity_pctchg,distance_pctchg,duration_pctchg
443114L,3451,5144,196,369,3202.010901020405,1.077760228392804,1.6064904708352894,1693,173,0.5287302424424853,0.4905824398725006,0.4905824398725007,0.8826530612244898
443229F,1098,4512,108,440,1041.672253683319,1.0540743464343107,4.3314967678612115,3414,332,3.277422421426901,3.109289617486339,3.109289617486339,3.074074074074074
443190E,1125,2822,114,346,870.2394429495599,1.2927476559634705,3.2427856756701456,1697,232,1.9500380197066751,1.5084444444444445,1.5084444444444445,2.0350877192982457
443219A,710,2038,107,293,640.8250093944905,1.107946771101946,3.180275379585586,1328,186,2.07232860848364,1.870422535211268,1.8704225352112676,1.7383177570093458
443071V,1073,1666,142,194,1015.1670249586073,1.0569689259200976,1.6411092549700677,593,52,0.58414032904997,0.5526561043802423,0.5526561043802423,0.36619718309859156
443025U,2157,5607,109,506,2151.3167379609436,1.0026417597831006,2.6063107775168497,3450,397,1.6036690177337491,1.599443671766342,1.599443671766342,3.6422018348623855
443047U,183,408,18,81,184.089525114798,0.9940815474746943,2.2163129583042367,225,63,1.2222314108295422,1.2295081967213115,1.2295081967213115,3.5
443263M,763,3425,48,213,566.1302358745994,1.3477464223779918,6.049844687607631,2662,165,4.702098265229639,3.488859764089122,3.488859764089122,3.4375
443068M,208,497,26,91,208.23264480084836,0.9988827649907109,2.3867535298095355,289,65,1.3878707648188247,1.3894230769230773,1.3894230769230769,2.5
443076E,1016,6534,103,611,899.5469934948608,1.1294573906058023,7.263656092734559,5518,508,6.1341987021287565,5.431102362204724,5.431102362204724,4.932038834951456
435228D,363,563,58,69,290.8256320740429,1.2481705873421152,1.9358678806435559,200,11,0.6876972933014407,0.5509641873278236,0.5509641873278237,0.1896551724137931
443184B,521,806,36,103,492.20601193650515,1.0584998707151292,1.6375257117013322,285,67,0.579025840986203,0.5470249520153551,0.5470249520153551,1.8611111111111112
